dataset,threshold,seed,search_method,method_label,nodes,query_count,query_ratio,first_result_query,first_result_query_ratio,final_answers,exhaustive_answers,answer_validation,validation_note
nginx:REQ,45000.000000,0,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C04|C05,C04|C05,exact,Exhaustive reference baseline.
nginx:REQ,45000.000000,0,balanced,Balanced (Ours),96,12,0.125000,12.000000,0.125000,C04,C04|C05,subset_sound,Search answers are a feasible subset of exhaustive frontier; conservative under pruning.
nginx:REQ,45000.000000,0,random,Random-candidate,96,16,0.166667,14.000000,0.145833,C04,C04|C05,subset_sound,Search answers are a feasible subset of exhaustive frontier; conservative under pruning.
nginx:REQ,45000.000000,1,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C04|C05,C04|C05,exact,Exhaustive reference baseline.
nginx:REQ,45000.000000,1,balanced,Balanced (Ours),96,12,0.125000,12.000000,0.125000,C04,C04|C05,subset_sound,Search answers are a feasible subset of exhaustive frontier; conservative under pruning.
nginx:REQ,45000.000000,1,random,Random-candidate,96,19,0.197917,3.000000,0.031250,C04|C05,C04|C05,exact,Search frontier exactly matches exhaustive frontier.
nginx:REQ,45000.000000,2,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C04|C05,C04|C05,exact,Exhaustive reference baseline.
nginx:REQ,45000.000000,2,balanced,Balanced (Ours),96,12,0.125000,12.000000,0.125000,C04,C04|C05,subset_sound,Search answers are a feasible subset of exhaustive frontier; conservative under pruning.
nginx:REQ,45000.000000,2,random,Random-candidate,96,10,0.104167,9.000000,0.093750,C04,C04|C05,subset_sound,Search answers are a feasible subset of exhaustive frontier; conservative under pruning.
nginx:REQ,45000.000000,3,exhaustive,Exhaustive,96,96,1.000000,48.000000,0.500000,C04|C05,C04|C05,exact,Exhaustive reference baseline.
nginx:REQ,45000.000000,3,balanced,Balanced (Ours),96,12,0.125000,12.000000,0.125000,C04,C04|C05,subset_sound,Search answers are a feasible subset of exhaustive frontier; conservative under pruning.
